Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,department_Kids Unisex,department_Men,department_Unisex,department_Women,concentration_EDC,concentration_EDP,concentration_EDT,concentration_Oil,concentration_PDT
881,Geoffrey Beene,Grey Flannel,105.0,82.9,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","mimosa, iris, violet, sage, rose, geranium and Narcissus",5.0,Beautiful Live,4.3,7,False,True,False,False,False,False,True,False,False
882,Niya,Hawaiian Musk,99.0,49.0,100,EDP,Men,Woody,"Musk, Oakmoss, Vanilla","Moroccan Jasmine, Patchouli, Birch, Rose",4.5,noon,4.2,98.1K,False,True,False,False,False,True,False,False,False
883,Genie Collection,Premium,35.0,14.5,25,EDP,Unisex,Oriental,"Amber, Patchouli And Musk","Tuberose, Ylang-ylang And Jasmine",5.0,Genie collection,3.8,32,False,False,True,False,False,True,False,False,False
884,GUESS,Homme,210.0,98.0,100,EDT,Men,Spicy,"Patchouli, Sandalwood, Amber And Musk","Vanilla Orchid, Violet Leaves And Vetiver",4.4,Star.perfume,3.5,537,False,True,False,False,False,False,True,False,False
885,DAVIDOFF,Zino,116.0,81.55,125,EDT,Men,Woody,"Tonka, Sandal, Amber, Cedar, Patchouli and Vanilla","Muguet, Rose, Jasmine and Geranium",3.4,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
886,Niya,Prive Maison Sandalwood,247.0,99.0,100,EDP,Men,Woody,"Sandalwood, Vanilla, Musk","Muguet, Violet, Tuberose",4.7,noon,4.2,98.1K,False,True,False,False,False,True,False,False,False
887,Lattafa,Ana Abiyedh Leather,65.0,47.9,60,EDP,Men,Musk,"Tonka Bean, Guaiac Wood","Vanilla, Cardamom, Saffron",4.6,top langri,3.9,347,False,True,False,False,False,True,False,False,False
888,Roberto Cavalli,Just Cavalli,357.0,101.95,90,EDT,Men,Woody,Leather,Vetiver,4.8,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
889,AVON,Tomorrow,130.0,70.0,50,EDP,Women,Floral,"Powdery, Floral, Woody, Balsamic, Rose",Musk,4.5,Tiffany,4.1,54,False,False,False,True,False,True,False,False,False
890,J.CASANOVA,Plaisir,148.0,75.75,100,EDP,Women,Oriental,Amber,Musk,4.8,top langri,4.3,347,False,False,False,True,False,True,False,False,False
891,Givenchy,Pour Homme,375.0,117.85,100,EDT,Men,Spicy,"Labdanum, Cedar","Vetiver, Lavender Extract",4.7,hadayiq baris,3.8,122,False,True,False,False,False,False,True,False,False
892,MONTBLANC,Emblem,363.0,146.6,100,EDT,Men,Spicy,"Tonka Bean, And Woody Notes",Violet Leaf And Cinnamon,4.4,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
893,BURBERRY,Burberry Body,499.0,164.35,85,EDP,Women,Fruity,"Woody Cashmeran, Creamy Vanilla, Amber And Musk.","Natural Rose Absolute, Iris And Warm Sandalwood.",4.8,perfumes--addresses,4.1,59,False,False,False,True,False,True,False,False,False
